Sparsity	Method	Mean Distance(mm)			Percentage(<1mm)			Percentage(<2mm)		
		Acc	Comp	Overall	Precision	Recall	f-score	Precision	Recall	f-score
1	SurfaceNet+	0.385	0.488	0.416	88.01	73.01	78.44	92.33	78.1	83.55
	SurfaceNet	0.45	1.02	0.735	84.49	64.58	71.65	89.1	68.72	76.21
	Gipuma	0.283	0.873	0.578	94.65	59.93	70.64	96.42	63.81	74.16
	R-MVSNet	0.383	0.452	0.417	87.63	72.48	77.09	91.74	76.39	82.01
	COLMAP	0.409	0.658	0.534	82.24	52.48	61.34	88.26	62.2	72.93
2	SurfaceNet+	0.448	0.437	0.4425	87.35	73.59	78.29	91.73	78.08	83.21
	SurfaceNet	0.455	1.011	0.733	81.62	65.79	70.96	86.67	69.77	75.56
	Gipuma	0.292	1.124	0.708	94.66	55.14	67	96.84	60.87	72.18
	R-MVSNet	0.471	0.499	0.485	86.96	60.04	67.99	95.05	65.71	74.69
	COLMAP	0.49	1.108	0.799	82.05	50.58	61.07	89.86	56.76	69.17
3	SurfaceNet+	0.466	0.482	0.464	86.06	74.41	78.15	90.87	78.25	82.91
	SurfaceNet	0.461	0.997	0.729	83.02	61.09	68.87	88.31	66.39	74.41
	Gipuma	0.267	1.252	0.7595	95.51	50.88	64.63	97.49	50.33	63.68
	R-MVSNet	0.465	1.012	0.7385	89.55	48.03	59.28	96.96	57.92	69.04
	COLMAP	0.467	1.09	0.7785	78.45	49.26	59.62	91.44	55.98	65.77
4	SurfaceNet+	0.46	0.495	0.478	87.06	72.14	77.41	91.36	77.15	82.57
	SurfaceNet	0.452	0.956	0.704	78.24	53.88	62.17	83.42	58.88	67.5
	Gipuma	0.482	1.248	0.865	91.95	46.65	59.76	94.95	55.16	67.71
	R-MVSNet	0.46	1.425	0.9425	88.17	32.02	44.92	93.66	44.21	57.55
	COLMAP	0.473	1.332	0.9025	82.05	38.28	51.27	92.05	56.18	67.23
5	SurfaceNet+	0.466	0.491	0.469	88.58	71.63	77.48	92.86	76.04	82.28
	SurfaceNet	0.445	0.948	0.701	81.07	58.62	66.55	85.4	62.76	70.97
	Gipuma	0.46	1.633	1.0465	92.38	38.53	52.36	95.1	48.15	61.78
	R-MVSNet	0.329	2.209	1.269	89.26	20.51	31.6	93.99	32.74	46.37
	COLMAP	0.443	1.284	0.8635	88.79	42.51	55.94	92.91	54.89	65.77
6	SurfaceNet+	0.48	0.511	0.496	86.74	67.26	74.93	92.05	72.19	80.64
	SurfaceNet	0.471	1.033	0.752	75.5	51.64	59.58	79.86	57.16	64.99
	Gipuma	0.46	1.702	1.081	92.46	30.37	43.99	95.32	40.8	55.28
	R-MVSNet	0.327	2.851	1.589	91.65	8.49	14.28	94.7	16.6	26.28
	COLMAP	0.462	1.531	0.9965	76.6	35.49	32	77.55	50.21	52.52
7	SurfaceNet+	0.435	0.524	0.479	91.36	72.23	75.59	95.21	76.54	81.86
	SurfaceNet	0.688	1.13	0.909	66.86	36.91	50.24	69.21	46.91	61.7
	Gipuma	0.569	1.77	1.1695	85.35	17.91	28.66	90.78	28	41.31
	R-MVSNet	empty	empty	empty	empty	empty	empty	empty	empty	empty
	COLMAP	0.545	1.756	1.1505	59.28	15.14	22.46	80.92	31.56	41.89
8	SurfaceNet+	0.431	0.702	0.566	91.6	66.61	75.28	95.41	71.76	80.48
	SurfaceNet	0.713	1.541	1.127	62.33	37.14	48.92	67.36	44.01	60.52
	Gipuma	empty	empty	empty	empty	empty	empty	empty	empty	empty
	R-MVSNet	empty	empty	empty	empty	empty	empty	empty	empty	empty
	COLMAP	0.552	2.703	1.6275	52.89	11.32	15.68	81.21	26.36	38.87
9	SurfaceNet+	0.441	0.895	0.668	85.99	53.16	63.01	89.86	57.63	67.86
	SurfaceNet	1.112	2.176	1.644	35.84	29.53	31.47	38.36	34.01	35.49
	Gipuma	empty	empty	empty	empty	empty	empty	empty	empty	empty
	R-MVSNet	empty	empty	empty	empty	empty	empty	empty	empty	empty
	COLMAP	empty	empty	empty	empty	empty	empty	empty	empty	empty
10	SurfaceNet+	0.45	0.901	0.675	84.96	50.93	60.96	89.5	55.73	66.23
	SurfaceNet	empty	empty	empty	22.91	10.32	12.68	26.22	16.68	24.87
	Gipuma	empty	empty	empty	empty	empty	empty	empty	empty	empty
	R-MVSNet	empty	empty	empty	empty	empty	empty	empty	empty	empty
	COLMAP	empty	empty	empty	empty	empty	empty	empty	empty	empty
11	SurfaceNet+	0.445	0.88	0.663	85.81	51.52	61.54	90.05	55.41	65.99
	SurfaceNet	empty	empty	empty	empty	empty	empty	empty	empty	empty
	Gipuma	empty	empty	empty	empty	empty	empty	empty	empty	empty
	R-MVSNet	empty	empty	empty	empty	empty	empty	empty	empty	empty
	COLMAP	empty	empty	empty	empty	empty	empty	empty	empty	empty

